Date,USD,EUR,GBP,JPY100,CHF,AUD,CAD,SGD,HKD100
2-Jan-14,3.2795,4.5152,5.44,3.115,3.6774,2.9266,3.0854,2.5943,42.2921
3-Jan-14,3.2945,4.5006,5.4148,3.1602,3.6634,2.9459,3.0928,2.5996,42.4872
6-Jan-14,3.2895,4.4685,5.3836,3.1512,3.6312,2.9438,3.0977,2.5934,42.4216
7-Jan-14,3.288,4.4802,5.392,3.1458,3.6307,2.9368,3.0804,2.5906,42.4045
8-Jan-14,3.285,4.4752,5.3871,3.1319,3.6151,2.9312,3.0434,2.586,42.3641
9-Jan-14,3.28,4.4546,5.3979,3.1289,3.5969,2.9146,3.0269,2.5786,42.2991
10-Jan-14,3.2695,4.4511,5.3888,3.1162,3.6067,2.9102,3.0148,2.5746,42.1632
13-Jan-14,3.26,4.461,5.3816,3.154,3.6198,2.9461,2.9938,2.5793,42.0417
15-Jan-14,3.2845,4.4787,5.3941,3.1476,3.6257,2.9314,2.9946,2.5852,42.3566
16-Jan-14,3.296,4.4892,5.3969,3.1447,3.6288,2.9051,3.0145,2.5885,42.5044
20-Jan-14,3.315,4.4845,5.4419,3.1887,3.6365,2.9106,3.0277,2.5965,42.7433
21-Jan-14,3.318,4.4952,5.4511,3.1712,3.6394,2.9261,3.0285,2.5999,42.7781
22-Jan-14,3.328,4.5164,5.4862,3.1994,3.6583,2.9513,3.0335,2.6051,42.9071
23-Jan-14,3.333,4.5145,5.5221,3.1916,3.6546,2.9314,2.9898,2.6009,42.9649
24-Jan-14,3.334,4.5632,5.5471,3.2231,3.7094,2.9219,3.0028,2.609,42.9468
27-Jan-14,3.346,4.5787,5.5216,3.2653,3.7394,2.9217,3.0256,2.6196,43.1058
28-Jan-14,3.342,4.5712,5.5527,3.2548,3.7287,2.9383,3.0138,2.6236,43.0387
29-Jan-14,3.3225,4.5369,5.5074,3.2192,3.6904,2.9255,2.9809,2.6114,42.7981
30-Jan-14,3.347,4.5697,5.5416,3.2711,3.7355,2.9236,2.9927,2.6245,43.0976
4-Feb-14,3.339,4.5103,5.4429,3.2991,3.6985,2.9547,3.0114,2.6283,43.0012
5-Feb-14,3.327,4.4954,5.4337,3.2788,3.6815,2.9557,3,2.6209,42.8616
6-Feb-14,3.323,4.4937,5.4188,3.2742,3.6751,2.9787,3.0053,2.6188,42.8255
7-Feb-14,3.324,4.5183,5.4261,3.2595,3.6917,2.9737,3.0049,2.6208,42.8389
10-Feb-14,3.332,4.5408,5.4695,3.2545,3.7076,2.9801,3.0217,2.6271,42.9586
11-Feb-14,3.3425,4.5689,5.4891,3.2725,3.7342,3.0129,3.0183,2.6352,43.0901
12-Feb-14,3.3255,4.5327,5.4704,3.2431,3.702,3.0132,3.0259,2.6299,42.877
13-Feb-14,3.326,4.529,5.5288,3.2563,3.7025,2.9748,3.0225,2.6247,42.8774
14-Feb-14,3.32,4.5421,5.5295,3.2619,3.7211,2.9873,3.0311,2.6237,42.8045
17-Feb-14,3.297,4.5202,5.5363,3.2441,3.7016,2.9854,3.0071,2.6177,42.5123
18-Feb-14,3.299,4.5239,5.5192,3.2217,3.6976,2.9902,3.0111,2.6158,42.5387
19-Feb-14,3.3033,4.5457,5.5106,3.2331,3.7212,2.9763,3.0181,2.6167,42.5946
20-Feb-14,3.305,4.5457,5.5114,3.2431,3.7256,2.9567,2.9839,2.6137,42.6133
21-Feb-14,3.303,4.5311,5.4998,3.2234,3.7154,2.9701,2.9701,2.6104,42.5897
24-Feb-14,3.3005,4.5342,5.4914,3.2269,3.7197,2.9586,2.9681,2.6056,42.5563
25-Feb-14,3.2775,4.502,5.4613,3.1963,3.6871,2.9573,2.9631,2.5973,42.2402
26-Feb-14,3.28,4.507,5.4701,3.2044,3.6966,2.9546,2.9571,2.5939,42.2735
27-Feb-14,3.2795,4.4896,5.4689,3.2023,3.6844,2.9322,2.9471,2.5904,42.2681
28-Feb-14,3.28,4.4943,5.4717,3.2223,3.6924,2.9376,2.948,2.5898,42.2615
3-Mar-14,3.281,4.5209,5.495,3.2357,3.731,2.925,2.9698,2.5896,42.2793
4-Mar-14,3.2855,4.5103,5.4727,3.2331,3.7162,2.934,2.9615,2.5862,42.34
5-Mar-14,3.2755,4.4982,5.4593,3.2066,3.692,2.9342,2.9544,2.5775,42.2068
6-Mar-14,3.2665,4.4843,5.4586,3.1819,3.6777,2.9454,2.9583,2.5773,42.0935
7-Mar-14,3.2585,4.5156,5.4547,3.167,3.7045,2.9623,2.9647,2.5787,41.9894
